x,y
464.1372,1071.033
474.9918,1186.3116
452.4582,1538.88
439.8174,1548.7728
467.5722,1461.3864
413.7114,1232.478
401.895,1352.4282
436.7946,1465.0962
360.9498,1157.3202
262.7088,909.7254
324.1266,1240.9968
330.5844,1183.701
429.7872,1088.6202
331.5462,1643.8536
364.11,1629.4266
376.8882,1631.7624
500.4108,1856.274
440.0922,1614.1752
412.2,1661.9904
415.9098,1590.5424
503.8458,1501.2324
639.4596,1409.3118
577.3548,1274.6598
587.385,1346.2452
680.9544,1430.7462
808.3242,1473.0654
693.0456,1327.6962
834.5676,1163.778
1251.9888,1024.7292
1342.6728,1081.6128
1158.282,1293.621
1225.8828,1290.186
1159.7934,1243.7448
898.3212,1016.4852
822.2016,896.1228
969.7692,767.6538
845.4222,553.035
1135.1988,476.2284
1318.4904,771.0888
1257.0726,737.0136
1155.2592,669.9624
1080.9258,693.183
1011.5388,877.4364
983.9214,959.4642
844.8726,988.0434
682.191,1010.4396
618.5748,914.2596
497.8002,1133.0004
478.0146,1126.2678
461.3892,1012.5006
702.3888,1137.1224
734.5404,877.8486
795.1338,897.6342
709.1214,894.474
569.1108,1004.9436
599.6136,1078.4526
606.0714,1118.8482
706.6482,1558.803
427.0392,1569.2454
330.447,1398.8694
383.7582,1490.3778
466.6104,1410.8232
640.5588,1329.0702
755.1504,1551.6582
930.885,1553.8566
996.15,1640.9682
933.0834,1365.3438
883.0698,1390.488
1071.8574,1344.3216
1186.5864,1245.3936
1212.6924,1336.0776
1504.8048,1650.5862
1493.4006,1852.7016
1473.0654,1842.8088
1653.0594,1760.3688
1370.2902,1935.0042
1259.4084,1968.5298
1405.3272,2039.9778
1652.235,2245.3908
1830.4428,2335.6626
1773.2844,2239.7574
1725.6066,1955.0646
1711.7292,2252.9478
1742.5068,2439.6744
1618.4346,2523.0762
1844.0454,2453.4144
1508.3772,2344.4562
1682.0508,2325.2202
1644.1284,2147.1498
1605.6564,2191.8048
1673.1198,2012.0856
1567.8714,2274.7944
1428.5478,1997.9334
1280.4306,2001.918
1254.462,1870.9758
1295.8194,1731.1026
1562.925,1739.8962
1657.5936,1911.5088
1803.7872,1777.6812
1777.956,1756.659
1785.9252,1821.237
1760.5062,1889.3874
1662.54,2126.4024
1509.8886,2363.6922
1372.3512,2276.4432
1503.2934,2127.3642
1576.9398,2345.0058
1623.9306,2224.0938
1625.9916,2159.5158
1641.93,2179.7136
1529.949,2017.719
1602.4962,1781.391
1500.9576,1736.1864
1585.0464,1592.1912
1725.1944,1573.3674
2016.7572,1613.4882
1905.3258,1747.5906
1914.5316,1791.1464
1866.8538,2044.7868
2089.854,2079.549
2167.3476,1966.7436
2030.9094,1935.5538
2033.52,1759.6818
2244.9786,1872.2124
2291.832,2023.7646
2315.7396,1997.2464
2182.0494,2026.5126
1940.9124,2119.2576
1964.82,2461.2462
2009.0628,2399.4162
2215.7124,2572.6776
2147.8368,2481.8562
2112.6624,2628.462
1883.067,2745.6642
1936.2408,2792.2428
2045.3364,2808.456
2016.7572,2664.4608
2160.7524,2654.9802
2264.6268,2500.4052
2232.8874,2459.8722
2351.7384,2316.564
2326.7316,2308.1826
2363.1426,2301.45
2337.7236,2215.1628
2414.6676,2347.7538
2634.7824,2362.593
2507.55,2424.423
2443.5216,2409.5838
2521.8396,2373.1728
2575.9752,2421.8124
2712.4134,2569.7922
3028.7082,2481.7188
3047.2572,2531.7324
2804.0592,2353.662
2956.9854,2420.1636
3100.1562,2678.613
2730.825,2506.4508
2915.628,2449.5672
2921.5362,2571.5784
3009.6096,2575.563
3022.8,2525.1372
3400.1004,2464.1316
3283.0356,2324.121
